Project Description,Location,Contractor,Cost,Completion Date
"Rehabilitation of Bitan-ag Creek including Channelization, Cagayan de Oro City",MISAMIS ORIENTAL,SUPREA PHILS. DEVELOPMENT CORP. / VEN RAY CONSTRUCTION CORPORATION,"91,435,385.09",04/21/2024
"Construction of Rectangular Open Channel along Bitan-ag Creek (Rectangular Open Channel - 5m x 2m), Package 1, Cagayan de Oro City",MISAMIS ORIENTAL,JEJOR'S CONSTRUCTION CORPORATION,"84,440,279.13",04/21/2024
"Construction/Extension of Salvacion Seawall (Phase 4), Tabaco City, Albay",ALBAY,"DSB CONSTRUCTION & SUPPLY, INC. (FORMERLY: DSB CO","96,500,000.00",04/21/2024
"Construction of San Luis Pumping Station, Barangay Batis, San Juan City",SAN JUAN CITY,R.D. TALENS CONSTRUCTION AND TRADING / NEW EASTPOINT BUILDERS CORP.,"65,573,723.02",04/21/2024
"Construction of Seawall along the Shoreline of Ballesteros, Cagayan",CAGAYAN,JEICCA BUILDERS,"48,234,966.56",04/20/2024
"Construction of Bangon Flood Control Structure and Drainage System along Bangon River, Barangay San Jose, Palo, Leyte",LEYTE,EZJONES CONSTRUCTION INC. / MWJ CONSTRUCTION,"115,759,997.57",04/19/2024
"Rehabilitation of Riverbank along Lanao River (Downstream), Moalboal, Cebu",CEBU,"NEWBIG FOUR J CONSTRUCTION INC., (FORMERLY FOUR J","96,497,149.81",04/19/2024
"Construction of Flood Mitigation Structures along Bago River-Cavan-Culo Section (Phase 1), Brgy. Culo and Brgy. Tapong, Pulupandan",NEGROS OCCIDENTAL,FOUR SG ENTERPRISES / WILKINSON CONSTRUCTION,"98,999,701.50",04/19/2024
"Construction of River Control Structure along Mag-Asawang Tubig River Sitio Pantaunan, Brgy. Bagong Buhay, Naujan, Oriental Mindoro",ORIENTAL MINDORO,SILVERWOLVES CONSTRUCTION CORPORATION,"96,499,892.60",04/19/2024
"Construction of Dumacaa River Flood Control (Package 8), Lucena City, Quezon",QUEZON,RAPID FOREMOST CONST. CO. / JELCON-CONSTRUCTION AND TRADING CORPORATION,"96,499,997.82",04/19/2024
"Construction of Flood Control Structure along Masalasa Creek (Segment L), Tarlac City, Tarlac",TARLAC,A.C. SOLIVEN CONSTRUCTION & GENERAL MERCHANDISE,"45,000,000.00",04/19/2024
"Construction of Slope Protection Structure along Tarlac River (Left Dike), Brillante-Aduas Section, Package J, Paniqui, Tarlac",TARLAC,J.H.R. ENTERPRISES,"74,250,000.00",04/19/2024
"Construction Slope Protection Structure along Abacan River, Barangay Anunas to Barangay Malabañas (Phase II), Angeles City, Pampanga",PAMPANGA,NICLEDON CONSTRUCTION,"48,979,865.38",04/19/2024
"Construction of Riverbank Protection Structure at Barangay Calero, Malolos City, Bulacan",BULACAN,WAWAO BUILDERS,"77,197,885.27",04/19/2024
"Construction of Riverbank Protection Structure at Barangay Batbatnin, Malolos City, Bulacan",BULACAN,DARCY & ANNA BUILDERS & TRADING,"77,199,938.27",04/19/2024
"Construction of Riverbank Protection Structure at Barangay Carillo, Hagonoy, Bulacan",BULACAN,DARCY & ANNA BUILDERS & TRADING,"77,199,918.56",04/19/2024
"Construction of Riverbank Protection Structure at Barangay Mambog, Malolos City, Bulacan",BULACAN,DARCY & ANNA BUILDERS & TRADING,"77,199,984.52",04/19/2024
"Construction of Riverbank Protection Structure at Barangay San Miguel, Calumpit, Bulacan",BULACAN,WAWAO BUILDERS,"77,197,298.97",04/19/2024
"Construction of Riverbank Protection Structure at Barangay Bulihan, Malolos City, Bulacan",BULACAN,WAWAO BUILDERS,"77,188,533.89",04/19/2024
"Construction of Riverbank Protection Structure at Barangay Anilao, Malolos City, Bulacan",BULACAN,DARCY & ANNA BUILDERS & TRADING,"77,199,993.50",04/19/2024
"Construction of Riverbank Protection Structure at Barangay Atlag, Malolos City, Bulacan",BULACAN,DARCY & ANNA BUILDERS & TRADING,"77,199,896.46",04/19/2024
"Construction of Flood Control Project along Agno River, Barangay San Jose, Aguilar, Pangasinan",PANGASINAN,RANIA CONSTRUCTION AND SUPPLIES / JHI CONSTRUCTION & SUPPLY,"48,249,995.84",04/19/2024
"Construction of Flood Mitigating Structure (River Wall Protection Upstream and Downstream), Barangay San Pedro, Sarrat, Ilocos Norte",ILOCOS NORTE,BJMJB CONSTRUCTION & SUPPLY,"4,899,952.42",04/19/2024
"Improvement of Don Pedro Relief Pumping Station (Phase II), Barangay Marulas, Valenzuela City",VALENZUELA CITY,TWO DIMENSION CONSTRUCTION,"141,709,642.41",04/19/2024
"Construction of Flood Mitigation Structure, Barangay Sua, Canaman, Camarines Sur",CAMARINES SUR,MEGA-ANT BUILDERS AND CONSTRUCTION SUPPLIES,"4,897,900.00",04/18/2024
"Construction of Flood Mitigation Structure along Laoag River Basin, Buttong Creek, Barangay Buttong, Laoag City, Ilocos Norte (Phase 2)",ILOCOS NORTE,RCD GEN. CONTRACTOR & CONSTRUCTION SUPPLY,"9,649,102.48",04/18/2024
"Construction of Flood Control Structure at Manticao River (downstream of Manticao Bridge) Manticao, Misamis Oriental",MISAMIS ORIENTAL,PYRAMID CONSOLIDATED BUILDERS & GEN. MDSE. / FFJJ CONSTRUCTION,"198,000,000.00",04/17/2024
"Construction of Drainage System, Barangay Alta Vista, Ormoc City",LEYTE,MELGAZO CONSTRUCTION AND SUPPLY,"6,435,658.12",04/17/2024
"Construction of Revetment Wall along Malinao River, Brgy. Malandayon, Malinao, Aklan",AKLAN,TOPMOST DEVELOPMENT & MKTG. CORP.,"49,499,996.53",04/17/2024
"Construction of Flood Control at Sibuguey River along Imelda - Bayog - Kumalarang - Lapuyan - Margosatubig Road, Barangay Paradise, Diplahan, Zamboanga Sibugay Package 3",ZAMBOANGA SIBUGAY,DL ENTERPRISES,"48,249,820.66",04/17/2024
"Construction of Slope Protection Structure along Agno River, Barangay Darawey, Bayambang, Pangasinan, Phase I",PANGASINAN,JEUSMACK BUILDERS & CONSTRUCTION SUPPLY,"8,688,171.63",04/17/2024
"Construction of Slope Protection along Ingalera River, Barangay Barang, Malasiqui, Pangasinan (Phase V)",PANGASINAN,BET CONSTRUCTION & SUPPLY / RIEMAR CONSTRUCTION,"47,699,899.60",04/17/2024
"Construction of Slope Protection Works along Agno River, Barangay Supo, San Carlos City, Pangasinan",PANGASINAN,ALCEL CONSTRUCTION,"47,618,177.06",04/17/2024
"Construction of Seawall, Barangay Caruan, Pasuquin, Ilocos Norte",ILOCOS NORTE,HAUSLAND CONSTRUCTION,"48,999,619.58",04/17/2024
"Installation of Booster Pump at Estero dela Reina (Package 1a), Binondo, Manila City",CITY OF MANILA,JJPR CONSTRUCTION SERVICES,"144,723,988.91",04/17/2024
"Installation of Booster Pump at Estero de Binondo (Package 1a), Manila City",CITY OF MANILA,JJPR CONSTRUCTION SERVICES,"144,747,913.69",04/17/2024
"Installation of Booster Pump at Estero de Binondo (Package 1b), Manila City",CITY OF MANILA,JJPR CONSTRUCTION SERVICES,"144,721,297.16",04/17/2024
"Installation of Booster Pump at Estero de Binondo (Package 1c), Manila City",CITY OF MANILA,JJPR CONSTRUCTION SERVICES,"144,558,835.09",04/17/2024
"Installation of Booster Pump at Estero de Quiapo (Package 1a), Manila City",CITY OF MANILA,JIIK CONSTRUCTION SERVICES,"144,717,637.93",04/17/2024
"Installation of Booster Pump at Estero de Quiapo (Package 1b), Manila City",CITY OF MANILA,JIIK CONSTRUCTION SERVICES,"142,902,794.29",04/17/2024
"Installation of Booster Pump at Estero dela Reina (Escolta Bridge), Manila City",CITY OF MANILA,JJPR CONSTRUCTION SERVICES,"138,756,596.96",04/17/2024
"Installation of Booster Pump in CM Recto Ave. (Phase 1), Tondo, Manila City",CITY OF MANILA,JELSIE CONSTRUCTION & SUPPLY,"96,362,389.26",04/17/2024
"Installation of Booster Pump in CM Recto Ave. (Phase 2), Tondo, Manila City",CITY OF MANILA,JELSIE CONSTRUCTION & SUPPLY,"95,445,184.12",04/17/2024
"Construction of River Control along Tangaro, Catarman, Camiguin",CAMIGUIN,SHEEN-SHEEN CONSTRUCTION CORPORATION (FORMERLY: SHEEN-SHEEN CONSTRUCTION),"19,006,200.13",04/16/2024
"Construction of Comprehensive Drainage System of San Vicente, San Vicente, Camarines Norte",CAMARINES NORTE,INFINITUM FORTUNE,"27,996,855.81",04/16/2024
"Construction of Slope Protection Works for Cagayan River Basin, Siffu River, San Placido, Roxas, Isabela",ISABELA,JWU CONSTRUCTION AND SUPPLY,"96,488,772.99",04/16/2024
"Construction of Flood Control Structure, Barangay Teppang, Bacarra, Ilocos Norte",ILOCOS NORTE,BJMJB CONSTRUCTION & SUPPLY,"9,799,416.20",04/16/2024
"Construction of Flood Control Structure along Barangay Buyon and Barangay Pasiocan, Bacarra, Ilocos Norte",ILOCOS NORTE,BJMJB CONSTRUCTION & SUPPLY,"29,399,860.43",04/16/2024
"Construction of Flood Control Structure along Bislak River, Barangay Ganagan-Casilian, Bacarra, Ilocos Norte",ILOCOS NORTE,ZEDIK BUILDERS,"29,399,925.82",04/16/2024
"Construction of Flood Control Structure along Abra Major River Basin, Podayan, Patoc, Bucay, Abra",ABRA,MG SAMIDAN CONSTRUCTION,"96,500,000.00",04/16/2024
"Construction of Daan Suyan-Lun Padidu River Control, Package A, Malapatan, Sarangani",SARANGANI,J.G. ORANZA CONSTRUCTION,"96,480,601.49",04/15/2024
"Construction of Revetment Wall at Barangay Bala - Barangay Lanao (Upstream Right Side), Moalboal, Cebu",CEBU,SUDAN CONSTRUCTION AND SUPPLY CORP.,"29,394,904.70",04/15/2024
"Construction of Revetment Wall at Barangay Bala - Barangay Lanao (Upstream Left Side), Moalboal, Cebu",CEBU,SUDAN CONSTRUCTION AND SUPPLY CORP.,"29,395,164.54",04/15/2024
"Construction of Flood Control Structure along Wahig River, Sierra Bullones, Bohol",BOHOL,CLAIRE CONSTRUCTION AND SUPPLY CORPORATION / MUANA CONSTRUCTION AND DEVELOPMENT CORP. (FORMERLY,"98,999,836.90",04/15/2024
"Construction of Poblacion West Seawall, Sta. 0+114.00 - Sta. 0+217.00, Milagros, Masbate",MASBATE,"HKP CONSTRUCTION AND SUPPLY / DSB CONSTRUCTION & SUPPLY, INC. (FORMERLY: DSB CO","62,725,000.00",04/15/2024
"Construction of Pawili River Flood Mitigation Structure (Barangay Salvacion and Barangay Bagumbayan) Bula, Camarines Sur",CAMARINES SUR,BICOL GOLDROCK CONSTRUCTION CORPORATION,"120,971,555.24",04/15/2024
"Construction of Flood Mitigation Structure, Sto. Niño Quipayo, Calabanga, Camarines Sur",CAMARINES SUR,MEGA-ANT BUILDERS AND CONSTRUCTION SUPPLIES,"4,896,762.41",04/15/2024
"Construction of Bucayao River Control at Managpi Section, Calapan City, Oriental Mindoro",ORIENTAL MINDORO,E.S.L. BUILDERS & PARTS SUPPLY,"29,399,981.95",04/15/2024
"Construction of Flood Mitigation Structure, Barangay 7, Mamburao, Occidental Mindoro",OCCIDENTAL MINDORO,STX ENTERPRISES,"9,848,740.48",04/15/2024
"Construction of Flood Control and Bank Protection Structure along Lukutang Malaki River, Rodriguez (Montalban), Rizal",RIZAL,"PERSAN CONSTRUCTION, INC. (FORMERLY: PERSAN CONST.","80,705,888.18",04/15/2024
"Construction of Flood Mitigation Structure at East Manggahan River, Phase 2, Barangay San Juan, Taytay, Rizal",RIZAL,YPR GEN. CONTRACTOR AND CONSTRUCTION SUPPLY INC.,"106,149,488.03",04/15/2024
"Construction of Seawall in Barangay Poblacion 5, Quezon, Quezon",QUEZON,RAM BUILDERS,"4,826,779.06",04/15/2024
"Construction of Flood Mitigation Structure, Barangay Tubuan, Lemery, Batangas",BATANGAS,SANDBANK CONSTRUCTION CORP.,"4,950,000.00",04/15/2024
"Construction of Guisguis Flood Control at Nayum River, Brgy. Guisguis, Sta. Cruz, Zambales",ZAMBALES,E.R. DELA CRUZ CONSTRUCTION & SUPPLY,"47,670,294.00",04/15/2024
"Construction of Guinabon Flood Control at Nayum River, Brgy. Guinabon, Sta. Cruz, Zambales",ZAMBALES,E.R. DELA CRUZ CONSTRUCTION & SUPPLY,"47,669,194.00",04/15/2024
"Construction of Gama River Slope Protection/ Flood Control Structure Phase 3, Sta. Cruz, Zambales",ZAMBALES,E.R. DELA CRUZ CONSTRUCTION & SUPPLY,"47,694,698.00",04/15/2024
"Construction of Flood Control and Drainage Structure along Matuno River, Barat Section, Bambang, Nueva Vizcaya",NUEVA VIZCAYA,DALCON CONSTRUCTION,"89,745,000.00",04/15/2024
"Construction of Flood Control Structure along Baroro River, Barangay Bucao, San Gabriel, La Union",LA UNION,ST. GERRARD CONSTRUCTION GEN. CONTRACTOR & DEVELOPMENT CORP. (FORMERLY:ST. GERRARD CONSTRUCTION),"154,399,996.76",04/15/2024
"Construction of Flood Control Structure along Baroro River, Barangay Nagsabaran, San Juan, La Union",LA UNION,ST. GERRARD CONSTRUCTION GEN. CONTRACTOR & DEVELOPMENT CORP. (FORMERLY:ST. GERRARD CONSTRUCTION),"154,399,985.85",04/15/2024
"Construction of Flood Control Structure along Baroro River, Barangay Poblacion, San Gabriel, La Union",LA UNION,ST. GERRARD CONSTRUCTION GEN. CONTRACTOR & DEVELOPMENT CORP. (FORMERLY:ST. GERRARD CONSTRUCTION),"154,399,995.59",04/15/2024
"Construction of Flood Control/Box Culvert Drainage System, San Andres St., Manila City",CITY OF MANILA,ALE BUILDERS CONSTRUCTION AND DEVELOPMENT CORP.,"48,240,996.26",04/15/2024
"Construction of Retention Basin at Estero dela Reina, Tondo, Manila City (Phase X)",CITY OF MANILA,"JTC CRUZ CONSTRUCTION CO., INC. / NEWBIG FOUR J CONSTRUCTION INC., (FORMERLY FOUR J","95,158,284.39",04/15/2024
"Construction of Pumping Station at Barangay 129, Vitas, Tondo, Manila City",CITY OF MANILA,A.M. SALONG CONSTRUCTION,"64,471,193.37",04/15/2024
"Construction of Lower Uma Flood Control and Drainage, Lubuagan, Kalinga",KALINGA,SONBLESSED CONSTRUCTION AND SUPPLY,"7,834,904.25",04/15/2024
"Construction of Revetment along Surigao River, Togbongon Section, Surigao City, Surigao del Norte",SURIGAO DEL NORTE,"GICAR CONSTRUCTION, INC.","96,472,570.51",04/14/2024
"Construction of Shore Protection,Brgy. Pamosaingan,Socorro, Surigao del Norte",SURIGAO DEL NORTE,ROAD EDGE TRADING & DEVELOPMENT SERVICES,"49,399,902.50",04/14/2024
"Construction of Flood Control Structure along Malatipay River, Kalilangan, Bukidnon, Package 1",BUKIDNON,TKS BUILDERS & SUPPLIES,"139,626,672.98",04/14/2024
"Construction of Drainage System/Outfall for New Gallares Hospital and other facilities, Cortes, Bohol",BOHOL,LABB CONSTRUCTION DEVELOPMENT INC. (FORMERLY: LABB CONSTRUCTION),"48,656,422.00",04/14/2024
"Construction of Flood Control Structure along Mag-Asawang Sapa Creek Phase 3, San lldefonso, Bulacan",BULACAN,M3 KONSTRACT CORPORATION (FORMERLY:MARGARITA CONSTRUCTION),"86,848,839.48",04/14/2024
"Construction of RCBC Drainage System, Barangay Tumana, Marikina City",MARIKINA CITY,"729 CONSTRUCTION, INC. (FORMERLY 722 CONSTRUCTION, INC.)","46,535,318.28",04/14/2024
"Construction of Flood Control Structure along Bagumbayan Creek (Muntinlupa Side) Brgy. Sucat, Muntinlupa City",MUNTINLUPA CITY,L.M.G. CONSTRUCTION INCORPORATED (FORMERLY: LMG CONSTRUCTION),"48,992,948.19",04/14/2024
"Construction of Matlang Flood Control (Upstream), Isabel, Leyte",LEYTE,RJIR ENTERPRISES CORPORATION,"96,469,960.03",04/13/2024
"Construction of Tunga Flood Control Structure and Drainage system, Tunga River Basin, Barangay Astorga, Tunga, Leyte",LEYTE,LANOY CONSTRUCTION,"55,209,715.80",04/13/2024
"Construction of Flood Control Structure along Sitio Kabaywasan, Barangay Bani, Bacarra, Ilocos Norte",ILOCOS NORTE,BJMJB CONSTRUCTION & SUPPLY,"4,899,978.15",04/13/2024
"Construction of Flood Control in Barangay Masgad, Malimono, Surigao del Norte",SURIGAO DEL NORTE,C.V. CONSTRUCTION & DEVELOPMENT,"96,499,988.91",4/12/2024
"Construction of Flood Control Structure along Cut-off Channel (Downstream), Brgy. Balagbag, Milaor, Camarines Sur",CAMARINES SUR,BICOL GOLDROCK CONSTRUCTION CORPORATION,"120,625,000.00",4/12/2024
"Construction of Flood Control, Brgy. Bachao-Ibaba, Gasan, Marinduque",MARINDUQUE,JEDIDIAH CONSTRUCTION,"4,948,075.66",4/12/2024
"Construction of Flood Control, Brgy. Ihatub, Boac, Marinduque",MARINDUQUE,JEDIDIAH CONSTRUCTION,"4,947,817.66",4/12/2024
"Construction of Flood Control (Riprap), KMNAI, Barangay Kanlurang Mayao, Lucena City, Quezon",QUEZON,JAICA CONST. CORP,"4,950,000.00",4/12/2024
"Construction of Structure for River Protection Along Sta. Rosa River, (Near Puting Tulay), Sta. Rosa City, Laguna",LAGUNA,RVR3 CONSTRUCTION SUPPLY AND SERVICES / ORA ET LABORA CONSTRUCTION INC,"47,724,808.83",4/12/2024
"Construction of Structure for River Protection Along Sta. Rosa River, (Near Macabling Dam), Sta. Rosa City, Laguna",LAGUNA,RVR3 CONSTRUCTION SUPPLY AND SERVICES / ORA ET LABORA CONSTRUCTION INC,"47,724,810.65",4/12/2024
"Construction of Drainage System and Sidewalk along Karuhatan Service Road NLEX (Phase II), Brgy. Karuhatan, Valenzuela City",VALENZUELA CITY,SONPRO CONSTRUCTION,"19,125,110.85",4/12/2024
"Construction of Revetment near Salvador Bridge (Downstream Side), Barangay San Isidro, Parañaque City, Metro Manila",PARAÑAQUE CITY,DARCY & ANNA BUILDERS & TRADING,"48,999,627.30",4/12/2024
"Construction of Flood Mitigation Structure along Agay River, Brgy. San Antonio RTR, Agusan del Norte",AGUSAN DEL NORTE,ARQ BUILDERS,"24,436,494.00",4/11/2024
"Construction of River Bank Protection along Ala River, Brgy. Dajay, Surallah, South Cotabato",SOUTH COTABATO,ABU CONSTRUCTION,"83,327,324.86",4/11/2024
"Construction of River Bank Protection along Ala River, Brgy. Kolambog, Norala, South Cotabato",SOUTH COTABATO,ABU CONSTRUCTION,"74,137,420.79",4/11/2024
"Construction of River Bank Protection along Banga River, Brgy. Malaya, Banga, South Cotabato",SOUTH COTABATO,ABU CONSTRUCTION,"75,619,408.99",4/11/2024
"Construction of River Bank Protection along Marbel River, Brgy. Namnama, City of Koronadal, South Cotabato",SOUTH COTABATO,ABU CONSTRUCTION,"77,101,733.66",4/11/2024
"Construction of Flood Control Dike along Kabacan River R/S, Barangay Labuo, President Roxas, North Cotabato",COTABATO (NORTH COTABATO),JARGON CONSTRUCTION & SUPPLY,"48,510,000.00",4/11/2024
"Construction of Riverbank Protection at Barangay Poblacion, Ginatilan (Upstream Left Side), Cebu",CEBU,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),"96,495,413.69",4/11/2024
"Construction of Flood Control Structures, Road and Other Improvements, Molino River, Brgy Molino 3, Bacoor, Cavite",CAVITE,"E. F. CHUA CONSTRUCTION, INC.","71,248,261.56",4/11/2024
"Construction of Slope Protection Structure along San Isidro River, West Side, Barangay Iba Silang, Cavite (Phase I)",CAVITE,"JTC CRUZ CONSTRUCTION CO., INC.","98,999,358.76",4/11/2024
"Construction of Flood Mitigation Facilities, Alaminos River (Palamis Section), Sta. 016+340 - Sta. 016+584, Barangay Palamis, Alaminos City, Pangasinan",PANGASINAN,CDC CONSTRUCTION & SUPPLIES,"49,000,000.00",4/11/2024
"Construction of Box-Culvert Drainage along Sanciangco St. (P. Aquino St. To Catmon Bridge), Malabon City",MALABON CITY,JAGONBUILD CONSTRUCTION CORP. (FOR. JAGON BUILDERS,"49,000,000.00",4/11/2024
"Construction of Flood Control Structure, Barangay Ermita, Phase I, Maripipi, Biliran",BILIRAN,RMA BUILDERS & SUPPLIES CORPORATION,"9,646,438.60",4/10/2024
"Construction of Revetment along Paranaque River North (Phase 2), Parañaque City",PARAÑAQUE CITY,E.R. RODRIGUEZ CONSTRUCTION CORPORATION (FORMERLY: E.R. RODRIGUEZ CONSTRUCTION),"98,995,281.56",4/10/2024
"Construction of Flood Control Structure along Abra Major River Basin, Barangay Nagtupacan, Dolores, Abra",ABRA,MG SAMIDAN CONSTRUCTION,"144,744,528.57",4/10/2024
"Construction of Flood Mitigation Structure along Obod-obod Creek, Package 1, Butuan City, Agusan del Norte",AGUSAN DEL NORTE,ME 3 CONSTRUCTION,"144,749,994.65",4/9/2024
"Construction of Bank Protection Structure along Pawili River, Salvacion Section, Bula, Camarines Sur",CAMARINES SUR,"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)","96,500,000.00",4/9/2024
"Construction/ Rehabilitation of Flood Mitigation Facilities within Major River Basins and Principal Rivers - Construction of Flood Control Structure along Agos River, Infanta, Quezon (Package A)",QUEZON,SILVERWOLVES CONSTRUCTION CORPORATION,"192,997,900.37",4/9/2024
"Construction/ Rehabilitation of Flood Mitigation Facilities within Major River Basins and Principal Rivers - Construction of Flood Control Structure along Agos River, Infanta, Quezon (Package B)",QUEZON,SILVERWOLVES CONSTRUCTION CORPORATION,"192,997,440.91",4/9/2024
"Construction of Slope Protection along Porac River, Mabical Section, Floridablanca, Pampanga",PAMPANGA,RVR3 CONSTRUCTION SUPPLY AND SERVICES,"29,393,302.38",4/9/2024
"Construction of Flood Mitigation Structure (Installation of Booster Pump) and Groundsill at Villanueva Creek Near Salvador Bridge, District 1, Parañaque City",PARAÑAQUE CITY,ST. TIMOTHY CONSTRUCTION CORPORATION,"82,982,803.05",4/9/2024
